;Basra;Kufa;West;Khurasan;Syria;Arabia;Wasit;undefined
40;2;0;0;0;0;0;0;0
50;0;0;0;0;0;0;1;0
78;0;4;0;0;0;0;0;0
79;110;79;0;20;29;0;0;0
80;206;73;0;23;30;0;0;0
81;151;72;0;21;39;3;0;0
82;100;48;0;9;40;0;0;0
83;64;28;0;13;38;0;1;0
84;25;9;0;19;39;0;24;0
85;0;18;0;0;32;0;71;0
86;0;13;0;0;40;0;62;0
87;0;17;0;0;33;0;47;0
88;0;9;0;0;30;0;25;0
89;0;16;0;0;33;0;57;0
90;318;147;0;62;42;6;55;0
91;248;103;0;75;32;0;55;0
92;200;104;0;72;29;0;78;0
93;260;113;0;105;23;0;107;0
94;282;139;0;41;29;0;117;0
95;258;108;0;98;37;0;183;0
96;269;139;0;43;37;0;143;0
97;216;116;2;38;31;0;76;0
98;172;93;4;11;20;0;24;0
99;9;22;1;72;26;0;49;0
100;89;33;0;22;57;0;0;0
101;58;44;13;8;19;0;17;0
102;38;35;18;14;22;0;0;0
103;28;13;35;1;23;0;45;0
104;0;7;36;0;27;0;44;0
105;0;33;34;0;23;0;101;0
106;0;14;27;1;23;0;49;0
107;0;3;18;4;20;0;59;0
108;0;7;14;29;25;0;54;0
109;0;4;16;26;12;0;38;0
110;0;4;23;45;12;0;43;0
111;0;0;46;10;26;0;39;0
112;0;0;36;1;9;0;43;0
113;0;0;38;1;28;0;62;0
114;0;2;52;12;18;0;52;0
115;0;5;12;26;9;0;45;0
116;0;0;45;6;8;0;45;0
117;0;2;30;15;15;0;48;0
118;0;6;43;27;32;0;49;0
119;0;12;24;20;16;0;49;0
120;0;27;7;9;12;0;88;0
121;0;10;18;4;27;0;109;0
122;0;3;9;10;18;0;117;0
123;0;12;0;0;22;0;118;0
124;0;5;13;1;16;0;133;0
125;0;11;7;0;18;0;124;0
126;0;14;0;0;18;0;154;0
127;2;27;0;3;20;0;57;0
128;34;130;5;21;6;0;56;0
129;22;99;6;0;3;0;54;0
130;14;34;1;9;4;0;65;0
131;55;21;3;16;16;0;44;0
132;1;10;5;32;0;0;11;0
133;0;0;0;21;0;0;0;0
